Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
KO,50.52,2020/10/23,16:00 EDT,-0.15999985,51.0,51.18,50.465,12991118,20201022,51.0004,105.0,,,,
KO,50.52,2020/10/23,16:00 EDT,-0.15999985,51.0,51.18,50.465,12991118,20201020,52.0,200.0,,,,
SYF,27.75,2020/10/23,16:00 EDT,-0.20999908,28.23,28.43,27.16,7239643,,,,,,,
PM,74.45,2020/10/23,16:00 EDT,-0.41000366,75.26,75.37,74.31,3501788,,,,,,,
NIO,27.16,2020/10/23,16:00 EDT,-0.21999931,27.37,27.42,26.48,50833405,20201020,27.9084,214.0,,,,
HUBS,315.6,2020/10/23,16:00 EDT,6.360016,309.16,315.71,303.03,300434,20201016,316.5,15.0,,,,
TWTR,50.44,2020/10/23,16:02 EDT,0.15999985,50.2,50.5,48.9417,14148772,20201016,46.08,108.0,,,,
F,8.16,2020/10/23,16:02 EDT,-0.05000019,8.3,8.35,8.09,60794891,20201009,7.35,340.0,,,,
